"Rec, num","1, Basic fuel injection pulse width (ms)","2, Coolant temperature (??C)","3, Engine speed (RPM)","4, Front oxygen voltage signal (V)","5, Ignition advance angle (Grad kw)","6, Ignition angle delayed degree due to knocking (Grad kw)"
1,0,64,0,"1,275",8,0
2,0,64,0,"1,275",8,0
3,0,64,0,"1,275",8,0
4,0,64,0,"1,275",8,0
5,0,64,0,"1,275",8,0
6,0,64,0,"1,275",8,0
7,0,64,0,"1,275",8,0
8,0,64,0,"1,275",8,0
9,0,64,0,"1,275",8,0
10,0,64,0,"1,275",8,0
11,0,64,0,"1,275",8,0
12,0,64,0,"1,275",8,0
13,0,64,0,"1,275",8,0
14,0,64,0,"1,275",8,0
15,0,64,0,"1,275",8,0
16,0,64,0,"1,275",8,0
17,0,64,0,"1,275",8,0
18,0,64,0,"1,275",8,0
19,0,64,0,"1,275",8,0
20,0,64,0,"1,275",8,0
21,0,64,0,"1,275",8,0
22,0,64,0,"1,275",8,0
23,0,64,0,"1,275",8,0
24,"11,9",64,0,"1,275","1,5",0
25,"5,98",64,"2016,75","0,455","-13,5",0
26,"4,94",64,"1876,75","1,275","-7,5",0
27,"4,75",64,"1847,75","1,275","-7,5",0
28,"4,73",64,"1742,25","1,275",-8,0
29,"4,91",64,1588,"1,275","-8,5",0
30,"4,59",65,"1457,75","1,275",-9,0
31,"3,92",65,"1745,25","0,86",3,0
32,"3,42",65,"1835,5","0,53","3,5",0
33,"3,11",65,"1807,75","0,4","3,5",0
34,"3,56",65,"1549,5","0,295",2,0
35,"3,33",66,"1382,25","0,805","0,5",0
36,"3,66",66,"1267,25","0,14",-7,0
37,"4,09",67,"1029,25","0,905",-8,0
38,"3,77",67,"1107,25","0,1",-7,0
39,"3,8",67,969,"0,06",-4,0
40,"3,62",67,985,"0,055",-5,0
41,"3,52",67,"920,75","0,05","-2,5",0
42,"3,46",67,958,"0,055","-1,5",0
43,"3,34",67,"916,75","0,055",-2,0
44,"3,4",67,"903,75","0,06","-2,5",0
45,"3,36",68,"917,75","0,065",-1,0
46,"3,3",68,"902,5","0,065","0,5",0
47,"3,3",68,"901,25","0,08",0,0
48,"3,28",68,"914,5","0,09",-2,0
49,"3,16",68,"907,75","0,105",-2,0
50,"3,23",68,897,"0,715","-0,5",0
51,"3,2",68,"894,25","0,68","-0,5",0
52,"3,19",68,"891,75","0,715","3,5",0
53,"3,11",69,"920,25","0,735","1,5",0
54,"3,11",69,887,"0,74",0,0
55,"3,07",69,879,"0,725","-0,5",0
56,"3,05",69,"888,75","0,715",4,0
57,"3,02",69,"888,75","0,71","1,5",0
58,"2,98",69,"884,75","0,675","1,5",0
59,"3,01",69,"852,75","0,595","0,5",0
60,"2,98",69,"879,5","0,705",2,0
61,"2,96",69,"865,25","0,695","3,5",0
62,"2,9",69,"863,5","0,405",2,0
63,"2,96",70,"859,25","0,665",3,0
64,"2,85",70,875,"0,445",3,0
65,"2,87",70,"852,75","0,665",5,0
66,"2,9",70,"863,5","0,125","4,5",0
67,"2,88",70,"864,25","0,625",4,0
68,"2,87",70,843,"0,115","3,5",0
