"Rec. num","1. Basic fuel injection pulse width (ms)","2. Coolant temperature (??C)","3. Engine Load (%)","4. Engine speed (RPM)","5. Front oxygen voltage signal (V)","6. Ignition advance angle (Grad kw)","7. Intake air manifold pressure (Kpa)","8. Vehicle speed (km/h)",
1,2.41,82,41.57,1965.00,0.820,9.0,40,88,
2,3.27,82,23.53,1927.50,0.655,36.5,34,87,
3,3.95,82,24.71,1908.50,0.775,32.0,29,86,
4,4.44,82,45.10,1904.75,0.825,28.5,67,85,
5,2.79,82,37.25,1899.00,0.115,8.5,44,85,
6,8.35,82,20.39,1873.00,0.765,25.0,39,84,
7,5.95,82,65.49,1886.00,0.495,23.0,77,84,
8,3.91,82,41.96,1884.00,0.190,28.5,46,84,
9,4.30,82,48.63,1871.25,0.760,29.0,69,84,
10,2.15,82,33.73,1855.00,0.810,9.0,34,83,
11,0.00,82,18.04,1816.25,0.035,3.5,23,82,
12,4.07,82,19.61,1777.75,0.030,30.0,26,81,
13,4.27,82,36.86,1779.25,0.675,35.5,47,79,
14,3.13,82,35.29,1755.00,0.490,38.0,41,79,
15,2.20,82,27.06,1742.25,0.785,4.5,30,78,
16,5.89,82,20.39,1714.25,0.755,29.5,39,77,
17,7.37,82,58.82,1725.00,0.760,17.0,76,77,
18,6.73,82,60.39,1728.00,0.125,25.0,67,77,
19,4.67,82,56.08,1732.75,0.745,31.0,61,77,
20,7.05,82,48.24,1731.25,0.775,24.5,64,78,
21,7.93,82,63.92,1740.50,0.555,18.5,74,78,
22,7.37,82,67.45,1755.00,0.110,20.0,74,78,
23,5.71,82,61.57,1766.25,0.380,24.0,70,79,
24,10.15,82,45.10,1767.75,0.835,15.5,65,79,
25,10.65,82,78.04,1794.25,0.095,15.0,85,79,
26,9.54,82,65.10,1819.75,0.690,17.5,76,81,
27,9.83,82,76.86,1855.00,0.110,16.0,86,82,
28,8.94,82,78.43,1889.75,0.180,17.0,84,83,
29,8.53,82,66.27,1916.00,0.775,25.0,72,84,
30,8.61,82,73.33,1910.25,0.775,17.5,83,84,
31,7.61,82,72.94,1937.25,0.730,20.5,80,85,
32,5.78,82,65.10,1933.50,0.265,26.0,72,86,
33,6.77,82,53.73,1920.00,0.090,28.0,65,86,
34,7.17,82,60.00,1921.75,0.685,23.0,72,86,
35,8.03,82,62.35,1935.25,0.785,21.5,73,86,
36,5.92,82,68.24,1945.25,0.710,28.0,76,87,
37,5.95,83,52.16,1965.00,0.125,29.0,64,88,
38,4.33,83,46.67,1959.00,0.100,33.0,55,88,
39,5.37,83,39.22,1943.25,0.095,32.0,51,87,
40,7.95,83,45.49,1943.25,0.870,26.5,65,87,
41,6.65,83,63.14,1953.00,0.775,24.5,73,87,
42,6.94,82,56.08,1957.00,0.620,26.5,68,87,
43,6.65,82,58.04,1961.00,0.805,25.5,70,88,
44,6.77,82,58.43,1961.00,0.575,25.5,70,88,
45,8.01,82,59.22,1967.00,0.475,23.5,72,88,
46,7.37,82,65.49,1977.25,0.500,24.0,74,88,
47,6.01,82,59.22,1983.25,0.110,28.5,69,89,
48,5.97,82,49.80,1981.25,0.160,29.5,63,89,
49,5.69,82,49.41,1977.25,0.760,29.5,63,89,
50,6.82,82,54.12,1975.25,0.810,25.0,70,88,
51,6.62,82,57.25,1977.25,0.760,28.5,67,89,
52,8.48,82,55.69,1977.25,0.130,21.0,77,89,
53,9.98,82,78.43,1997.75,0.770,16.5,88,89,
54,9.98,82,83.14,2029.50,0.620,16.0,89,90,
55,10.85,82,83.92,2055.50,0.255,16.0,89,91,
56,10.54,82,85.49,2089.00,0.100,16.5,90,92,
57,3.08,82,65.88,2274.75,0.085,31.5,51,92,
58,5.00,82,30.98,2179.25,0.090,32.5,59,92,
59,7.84,82,43.92,2046.75,0.630,31.0,61,91,
60,10.13,82,71.76,2038.00,0.835,17.5,84,91,
61,9.08,82,78.82,2060.00,0.605,17.5,86,91,
62,9.43,82,69.02,2066.50,0.750,18.0,80,92,
63,10.04,82,77.25,2091.50,0.780,17.5,85,92,
64,4.18,82,72.94,2102.75,0.095,29.0,72,94,
65,7.57,82,38.04,2031.50,0.855,28.5,59,91,
66,7.08,82,57.65,2038.00,0.800,25.5,70,91,
67,3.75,82,57.65,2042.50,0.625,32.0,66,91,
68,2.08,82,25.10,2018.75,0.065,11.5,26,90,
69,6.59,82,23.53,1989.50,0.715,25.0,72,89,
70,2.79,82,47.06,1989.50,0.080,36.0,50,89,
71,3.98,82,30.98,1967.00,0.100,34.5,44,88,
72,7.35,82,33.73,1957.00,0.825,26.5,48,88,
73,3.77,82,46.67,1955.00,0.215,35.0,51,87,
74,3.34,82,30.59,1937.25,0.100,37.5,38,87,
75,5.22,82,28.63,1914.25,0.775,30.5,37,86,
76,9.72,82,45.10,1912.25,0.855,20.0,65,86,
77,7.54,82,74.90,1927.50,0.505,21.0,81,86,
78,13.67,82,96.47,2000.00,0.235,15.0,100,89,
79,2.73,82,100.00,2727.25,0.095,13.0,66,91,
80,0.00,82,17.65,2570.25,0.015,4.5,21,91,
81,0.00,82,15.29,2253.50,0.015,4.0,21,89,
82,0.00,82,15.29,2027.25,0.010,2.5,23,88,
83,0.00,82,17.65,1880.50,0.010,2.5,25,85,
84,0.00,82,20.39,1755.00,0.010,2.5,26,80,
85,0.00,82,22.35,1609.25,0.010,2.5,27,74,
86,0.00,82,25.10,1502.25,0.010,2.5,31,69,
87,0.00,82,26.67,1426.25,0.010,2.5,33,65,
