"Rec. num","1. Accelerator pedal position (via CAN) (%)","2. Accelerator pedal sensor - PWM signal (%)","3. Air mass (kg/h)","4. Atmospheric pressure (kPa)","5. Control module voltage (V)","6. DTC fault detection counter","7. Engine coolant temperature (degree C)","8. Engine speed (rpm)","9. Front long term fuel trim, bank 1 (%)","10. Front short term fuel trim, bank 1 (%)","11. Fuel level (%)","12. Fuel Rail Pressure (kPa)","13. Global real time","14. Intake air temperature (degree C)","15. Manifold air pressure (kPa)","16. MECU supply voltage","17. Monititoring cycle counter #2","18. Monititoring cycle counter #3","19. Monititoring cycle counter #4","20. Outdoor temperature","21. SB0 Test failed","22. SB1 Test failed this monitoring cycle","23. SB2 Pending DTC","24. SB3 Confirmed DTC","25. SB4  Test not completed since last clear","26. SB5 Test failed since last clear","27. SB6 Test not completed this monitoring-cycle","28. SB7 Warning indicator requested","29. Throttle angle (%)","30. Total Distance","31. Total Distance","32. Vehicle speed (via CAN) (km/h)","33. Warm-up cycle counter",
1,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
2,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
3,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
4,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
5,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
6,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
7,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
8,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
9,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
10,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
